message_key,message_string
8,로봇 이상
9,Dummy
10,비상정지 발생
11,비상정지 해제
20,안전센서에 의한 보호정지 해제 발생
21,안전센서에 의한 보호정지 발생
22,시스템에 의한 보호정지 발생
29,Dummy
30,좌측 파렛트 작업이 완료되었습니다
31,우측 파렛트 작업이 완료되었습니다
32,디팔렛트 작업이 완료되었습니다
33,양측 파렛트 작업이 완료되었습니다
40,Dummy
1000,EVENTALARM_END
1100,로봇암에서 알람[코드: %s]이 발생하였습니다. 상세 에러코드는 매뉴얼을 확인하세요.
1101,로봇암 운용 모드가 원격 모드로 설정되어 있지 않습니다.
1102,로봇이 자가충돌상태입니다. 직접교시를 통해 해결하세요.
4000,RPM이 연결되지 않았습니다.
4001,잘못된 팔레트 설정입니다.
4002,잘못된 박스 설정입니다.
4003,PLAN BOX 로직 에러가 발생했습니다.\n%s
4004,PLAN BOX RESULT 로직 에러가 발생했습니다.
4005,팔레트 초기화를 실패하였습니다.
4006,적재정보 로딩에 실패하였습니다.
4007,사용하지 않는 API(Kill Space) 입니다.
4008,다음 적재플랜을 얻어오는 데 실패하였습니다.
4009,잘못된 파라미터 설정입니다
5000,시스템 전원이 켜졌습니다
5001,시스템 전원이 꺼집니다
5002,시스템 부팅에 실패하였습니다
5003,시스템 재부팅이 필요합니다
5100,작업이 시작되었습니다.
5101,작업이 정지되었습니다.
5102,작업이 일시정지되었습니다.
5103,작업이 재개되었습니다.
5104,작업이 이미 진행중 입니다.
5105,작업이 이미 정지되었습니다.
5106,작업중 예상치 못한 에러가 발생하였습니다.\n%s
5200,[%s]와/과 연결되었습니다.
5201,[%s]와/과 연결에 실패하였습니다.
5202,[%s]와/과 연결이 종료되었습니다.
5203,[%s]와/과 [%s]통신에 실패하였습니다.
5204,[%s]이/가 목표 위치[%s]에 도착하였습니다.
5205,[%s]이/가 목표 위치[%s]에 도달하지 못했습니다.
5206,[%s]이/가 보정되지 않았습니다. (수동작업으로 보정을 수행하세요.)
5207,[%s]의 모션이 정해진 시간내 완료되지 못했습니다.
5208,[%s]이/가 목표 위치[%s]가 가용범위를 벗어났습니다.\nmin[%s]~max[%s]
5209,[%s] 보정작업을 실패하였습니다.
5210,LIFT의 DUTY CYCLE이 초과되었습니다. %s분 이후에 동작시켜주세요.
5211,[%s] 보정작업에 치명적 오류가 발생했습니다.\n제조사에 문의해주세요.
5212,[%s] 에러가 발생하였습니다. \n작업을 재시도 해주세요.
5213,[%s] 에러가 발생하였습니다.\n재부팅후 재시도 해주세요. \n재부팅후에도 문제가 지속되면 제조사에 문의해주세요.
5214,배터리 잔량이 낮습니다.
5215,컨베이어에서 알람 [코드: %s]이 발생하였습니다. 상세 에러코드는 매뉴얼을 확인하세요.
7000,타겟 박스의 위치에 문제가 확인되었습니다. 수작업으로 위치를 보정해주세요.
7001,주변박스의 무너짐이 감지되었습니다. 수작업으로 위치를 보정해주세요.
7003,잘못된 목적지의 바코드입니다. 바코드의 목적지를 확인해주세요.
7004,토출용 컨베이어가 가득차 박스를 놓을 수 없습니다.
7005,부가팔렛의 박스가 없거나 위치오차가 큽니다.
7006,부가팔렛의 높이를 측정하는 데에 실패했습니다.
7007,부가팔렛이 지정되어 있지 않습니다.
7008,바코드 인식에 실패하여 DG처리합니다.
7009,박스타입오인식으로 DG처리합니다.
7010,박스인식에 실패하였습니다.
8000,버퍼에 있는 박스를 인식 또는 집는데 실패 하였습니다.
8001,회전지그에 있는 박스를 집는데 실패 하였습니다.
8002,모션이 정상적으로 수행되지 않았습니다.
8003,슈트에서 박스를 정상 인식하지 못했습니다.
8004,박스의 picking상태가 불안정합니다.
8005,더 이상 로봇이 이동할 수 없습니다.
8097,손목축 특이점 회피 모드 설정에 실패 하였습니다.
8098,작업 위치를 초과했습니다. 로봇이 갈 수 없는 영역에 집기/놓기를 시도했습니다.
8099,로직이 정상적으로 수행되지 않았습니다.
8100,박스 움직임 기능에서 문제가 발생했습니다.
8101,박스 놓을 공간이 부족 합니다.
8102,박스가 기울어져 있습니다..
9001,외부연결 중 통신에러가 발생했습니다. \n 재연결을 위해 활성화 버튼을 눌러주세요.
9002,외부연결 중 좌측 파렛트 작업이 완료되었습니다. \n 재시작을 위해 활성화 버튼을 눌러주세요.
9003,외부연결 중 우측 파렛트 작업이 완료되었습니다. \n 재시작을 위해 활성화 버튼을 눌러주세요.
